Hidden Layer Nodes,Seed,Learn Rate,Test,Error,Confusion Matrix Correctness
1,10,0.05,1,396.341339,27.3
2,10,0.05,1,333.8067819,44
5,10,0.05,1,186.449061,76.4
10,10,0.05,1,133.1142047,82.2
20,10,0.05,1,141.4090548,82.6
30,10,0.05,1,145.2437943,78.3
1,10,0.1,1,396.726859,27.6
1,10,0.1,2,396.726859,27.6
2,10,0.1,1,333.8535365,44.2
2,10,0.1,2,333.8535365,44.2
5,10,0.1,1,187.5398276,75.8
5,10,0.1,2,187.5398276,75.8
10,10,0.1,1,140.4845909,80.4
10,10,0.1,2,140.4845909,80.4
20,10,0.1,1,142.1156308,82.4
20,10,0.1,2,142.1156308,82.4
30,10,0.1,1,144.682735,77.9
30,10,0.1,2,144.682735,77.9
1,10,0.3,1,410.7284949,26.4
2,10,0.3,1,334.2306702,44.4
5,10,0.3,1,193.5980036,73.8
10,10,0.3,1,142.3034393,77.6
20,10,0.3,1,144.1418065,81.7
30,10,0.3,1,144.3679906,77.9
1,10,0.5,1,412.0410367,26.2
2,10,0.5,1,334.5293072,44.2
5,10,0.5,1,199.6036727,72.9
10,10,0.5,1,147.1615359,78.1
20,10,0.5,1,145.6158737,81.2
30,10,0.5,1,143.2262464,79.8
1,27,0.05,1,403.4555988,23.6
2,27,0.05,1,334.048749,44.4
5,27,0.05,1,175.5626875,75.8
10,27,0.05,1,149.6191823,79
20,27,0.05,1,139.3922055,81.7
30,27,0.05,1,168.1682338,76.4
1,27,0.1,1,403.253771,23.2
2,27,0.1,1,334.1026155,44.1
5,27,0.1,1,175.8745251,75.3
10,27,0.1,1,150.2810265,78.8
20,27,0.1,1,140.0074057,80.9
30,27,0.1,1,167.8511649,76.1
1,27,0.3,1,402.984845,22.7
2,27,0.3,1,335.7141811,44.2
5,27,0.3,1,182.3796576,75.2
10,27,0.3,1,156.7560878,77.8
20,27,0.3,1,140.6109097,81.1
30,27,0.3,1,167.5798269,76.8
1,27,0.5,1,402.9228241,22.9
2,27,0.5,1,336.3779304,44.3
5,27,0.5,1,179.1154187,74.8
10,27,0.5,1,159.9111629,77.2
20,27,0.5,1,142.0534776,80.6
30,27,0.5,1,156.7328274,77.9
1,37,0.05,1,398.9390636,26
2,37,0.05,1,320.63311,47.7
5,37,0.05,1,180.2291296,75.1
10,37,0.05,1,135.9723659,79.8
20,37,0.05,1,145.3258267,80.8
30,37,0.05,1,144.2098649,80
1,37,0.1,1,398.9789107,26
2,37,0.1,1,321.1089388,48.1
5,37,0.1,1,177.8645003,75.9
10,37,0.1,1,136.2321918,79.6
20,37,0.1,1,143.4143221,80.4
30,37,0.1,1,141.9463901,80.1
1,37,0.3,1,399.190212,26.1
2,37,0.3,1,322.3723532,47.9
5,37,0.3,1,178.5252771,73.5
10,37,0.3,1,138.6557103,78.7
20,37,0.3,1,136.1477584,82.8
30,37,0.3,1,138.2106123,80.9
1,37,0.5,1,399.5658622,25.8
2,37,0.5,1,324.5128429,47.1
5,37,0.5,1,181.8571269,73.3
10,37,0.5,1,141.4410959,78.7
20,37,0.5,1,129.8553536,81.5
30,37,0.5,1,137.5847956,81
1,47,0.05,1,402.2392655,28.1
2,47,0.05,1,322.1012099,48.9
5,47,0.05,1,185.0387996,75.2
10,47,0.05,1,156.6550147,78.5
20,47,0.05,1,130.3788277,80.2
30,47,0.05,1,167.5686165,76.1
1,47,0.1,1,402.2919392,28.3
2,47,0.1,1,322.2574341,48.4
5,47,0.1,1,185.2422002,75.2
10,47,0.1,1,156.4470224,79.8
20,47,0.1,1,128.830136,80.5
30,47,0.1,1,166.6160248,75.8
1,47,0.3,1,402.6317089,28.3
2,47,0.3,1,323.2648881,47.8
5,47,0.3,1,184.9472211,74.9
10,47,0.3,1,170.3808769,77.2
20,47,0.3,1,128.9565574,81.1
30,47,0.3,1,141.0738282,79.6
1,47,0.5,1,403.1423719,28
2,47,0.5,1,327.0549258,47.8
5,47,0.5,1,185.8887573,74
10,47,0.5,1,162.7471355,78
20,47,0.5,1,137.9729081,80.4
30,47,0.5,1,161.6655554,78.2
